Team,Season,off_pass_att,off_pass_cmp,off_cmp_pct,off_yds_per_att,off_pass_yds,off_pass_td,off_int,off_qb_rating,off_first_downs,off_first_down_pct,off_pass_20plus,off_pass_40plus,off_pass_long,off_sacks_taken,off_sack_yds_lost,off_rush_att,off_rush_yds,off_rush_avg,off_rush_td,off_rush_20plus,off_rush_40plus,off_rush_long,off_rush_1st,off_rush_1st_pct,off_rush_fum,off_rec,off_rec_yds,off_yds_per_rec,off_rec_td,off_rec_20plus,off_rec_40plus,off_rec_long,off_rec_1st,off_rec_1st_pct,off_rec_fum,off_total_td,off_2pt_conv,off_3rd_att,off_3rd_md,off_4th_att,off_4th_md,off_scrim_plays,def_pass_att,def_pass_cmp,def_pass_cmp_pct,def_pass_yds_per_att,def_pass_yds,def_pass_td_allowed,def_pass_int_made,def_opp_qb_rating,def_pass_1st,def_pass_1st_pct,def_pass_20plus_allowed,def_pass_40plus_allowed,def_pass_long_allowed,def_rush_att,def_rush_yds,def_rush_avg,def_rush_td_allowed,def_rush_20plus_allowed,def_rush_40plus_allowed,def_rush_long_allowed,def_rush_1st,def_rush_1st_pct,def_rush_fum_recovered,def_rec_allowed,def_rec_yds_allowed,def_yds_per_rec_allowed,def_rec_td_allowed,def_rec_20plus_allowed,def_rec_40plus_allowed,def_rec_long_allowed,def_rec_1st,def_rec_1st_pct,def_rec_fum_recovered,def_passes_defended,def_fum_td,def_safety,def_int_td,def_sacks,def_comb_tackles,def_assist_tackles,def_solo_tackles,def_3rd_att,def_3rd_md,def_4th_att,def_4th_md,def_scrim_plays,def_forced_fumbles,def_fum_recovered,def_int_yds,def_longest_play,st_fg_made,st_fg_pct,st_xp_made,st_xp_pct,st_kick_return_td,st_punt_return_td,made_playoffs,won_playoff,championship_win,superbowl_win,preseaon_power_rank,normalized_power_rank
Chargers,2022,711,485,68.2,6.7,4791,26,10,93.3,232,32.6,50,7,55,39,207,404,1524,3.8,15,6,2,72T,93,23,6,485,4791,9.9,26,49,7,55T,232,47.8,6,42,2,257,112,29,15,1154,505,310,61.4,7.3,3693,24,14,88,175,34.6,54,10,60T,457,2478,5.4,17,18,7,75T,119,26,6,310,3693,11.9,24,54,10,60T,175,56.4,5,64,0,1,1,40,995,345,584,199,78,15,6,1002,15,10,166,30T,31,93.9,40,100,0,0,0,0,0,0,9,0.111111111
Chiefs,2022,651,435,66.8,8.1,5250,41,12,104.7,272,41.8,73,13,67,26,188,417,1970,4.7,18,10,1,52,105,25.2,8,435,5250,12.1,41,73,13,67,272,62.5,5,61,3,193,94,12,9,1094,619,408,65.9,6.7,4144,33,11,95.3,207,33.4,45,7,66T,419,1823,4.4,10,7,1,56,102,24.3,4,408,4144,10.2,33,44,7,66T,207,50.7,2,85,0,1,2,55,1082,404,651,222,85,35,20,1093,12,9,225,99,24,75,50,90.9,0,0,1,1,1,1,7,0.142857143
Colts,2022,604,398,65.9,6.4,3854,17,20,79.2,193,32,41,4,49,60,422,439,1866,4.2,8,9,1,66T,91,20.7,8,398,3854,9.7,17,41,4,49,193,48.5,8,28,1,228,75,26,12,1103,537,365,68,7.1,3836,25,10,96.2,184,34.3,48,8,64T,511,2109,4.1,20,14,3,61T,127,24.8,3,365,3836,10.5,25,48,8,64T,184,50.4,6,62,0,0,2,44,1110,369,711,224,85,25,13,1092,14,11,141,35,32,82,23,100,0,0,0,0,0,0,12,0.083333333
Commanders,2022,554,344,62.1,6.8,3783,24,16,84.7,184,33.2,46,10,75T,48,311,538,2143,4,9,8,0,33,124,23,8,344,3783,11,24,46,10,75,184,53.5,1,36,2,230,81,25,12,1140,514,308,59.9,6.9,3531,26,9,90.2,155,30.2,45,16,61,441,1926,4.4,10,14,4,71T,102,23.1,3,308,3531,11.5,26,46,16,61,155,50.3,6,68,1,1,2,43,969,354,591,210,67,25,12,998,8,9,68,37T,25,83.3,24,85.7,0,0,0,0,0,0,28,0.035714286
Cowboys,2022,556,355,63.8,7,3911,28,18,87.9,194,34.9,50,5,68T,27,175,531,2298,4.3,24,17,3,57,129,24.3,2,355,3911,11,28,50,5,68T,194,54.6,2,55,0,231,105,19,10,1114,550,345,62.7,6.8,3767,23,16,84.7,174,31.6,43,9,75T,497,2198,4.4,9,9,0,36T,119,23.9,10,345,3767,10.9,23,43,9,75T,174,50.4,3,59,3,0,0,54,1072,344,724,231,87,22,12,1101,22,17,60,26,29,90.6,50,94.3,0,0,1,0,0,0,14,0.071428571
Dolphins,2022,584,368,63,8.2,4765,30,15,95,220,37.7,62,14,84T,35,254,390,1686,4.3,12,10,1,67,93,23.8,5,368,4765,13,30,62,14,84,220,59.8,3,46,0,196,71,24,13,1009,624,416,66.7,6.9,4282,27,8,95.3,200,32,48,11,79,422,1751,4.2,15,8,5,79T,98,23.2,6,416,4282,10.3,27,48,11,79,200,48.1,5,71,2,1,0,40,1080,365,661,233,97,31,15,1086,13,6,115,33,26,81.2,41,93.2,0,0,0,0,0,0,19,0.052631579
Eagles,2022,536,350,65.3,8.1,4364,25,9,99,195,36.4,63,13,78T,44,259,544,2509,4.6,32,17,2,42T,161,29.6,7,350,4364,12.5,25,63,13,78,195,55.7,6,59,2,222,102,32,22,1124,556,350,63,6.4,3548,22,17,81.6,186,33.4,40,7,63T,446,2068,4.6,15,8,1,50,115,25.8,7,350,3548,10.1,22,40,7,63T,186,53.1,1,85,0,0,2,70,1043,345,682,223,86,25,15,1072,15,10,186,42,22,88,53,96.4,0,0,1,1,1,0,15,0.066666667
Falcons,2022,415,257,61.9,7,2927,17,9,87.7,148,35.7,37,5,75T,37,228,559,2718,4.9,17,17,4,44,152,27.2,8,257,2927,11.4,17,37,5,75T,148,57.6,4,38,3,196,82,18,9,1011,561,372,66.3,7.3,4090,26,10,95.7,200,35.6,53,10,68T,500,2214,4.4,15,10,2,57,136,27.2,6,372,4090,11,26,53,10,68T,200,53.8,4,69,0,1,1,21,1151,494,605,220,101,17,7,1082,8,6,124,28T,32,86.5,33,94.3,1,0,0,0,0,0,31,0.032258065
Giants,2022,520,346,66.5,6.6,3431,17,6,91.1,170,32.7,28,5,65,49,274,520,2519,4.8,21,15,2,68,150,28.8,5,346,3431,9.9,17,28,5,65,170,49.1,4,40,3,212,78,21,10,1089,568,349,61.4,6.9,3909,21,6,89.9,200,35.2,48,5,61,469,2451,5.2,16,16,5,49,134,28.6,7,349,3909,11.2,21,48,5,61,200,57.3,4,75,1,0,1,41,1081,393,633,205,72,17,11,1078,20,13,97,52T,29,90.6,32,94.1,0,0,1,0,0,0,26,0.038461538
Jaguars,2022,596,394,66.1,7,4148,25,9,93.9,208,34.9,55,3,59T,28,189,448,2116,4.7,16,15,6,62,114,25.4,9,394,4148,10.5,25,55,3,59,208,52.8,2,45,4,215,90,27,14,1072,601,385,64.1,7.1,4258,25,14,89.2,211,35.1,52,8,62,470,1951,4.2,14,10,1,50,114,24.3,9,385,4258,11.1,25,52,8,62,211,54.8,4,95,2,0,2,35,1099,391,673,220,95,31,10,1106,17,13,232,59,30,85.7,36,97.3,0,0,1,0,0,0,30,0.033333333
